제품명	날짜	수량	공급가액
리듬	2022-09-20	39	28782
리듬	2022-03-19	36	26568
리듬	2022-09-06	56	41328
리듬	2023-11-27	84	61992
메사	2023-06-29	57	13338
벨크로	2021-01-26	27	9963
벨크로	2023-03-20	96	35424
벨크로	2022-03-28	79	29151
벨크로	2023-10-25	41	15129
벨크로	2023-07-18	53	19557
벨크로	2021-12-29	62	22878
벨크로	2021-03-28	70	25830
썸머	2023-06-10	50	5850
썸머	2022-12-20	80	9360
썸머	2022-02-14	19	2223
아쿠아	2022-07-02	97	56745
아쿠아	2022-08-26	77	45045
아쿠아	2022-01-25	91	53235
아쿠아	2022-09-02	29	16965
에어프랜드	2023-12-06	36	22680
에어프랜드	2022-06-01	77	48510
