대여코드/결제상태/수령일,대여장비,대여시간,대여비용
ED-1-101/예정/2021-6-3,지게차,48,150000
ED-1-102/예정/2020-8-24,크레인,72,110000
ED-1-103/완료/2021-6-17,크레인,168,495000
ED-1-104/예정/2021-2-6,굴착기,24,180000
ED-1-105/예정/2020-9-8,불도저,216,540000
ED-1-106/예정/2020-8-12,굴착기,168,810000
RE-7-201/완료/2020-6-27,굴착기,216,810000
RE-7-202/예정/2021-3-13,지게차,130,428000
RE-7-203/완료/2021-3-21,지게차,125,428000
RE-7-204/예정/2021-2-19,불도저,144,342000
RE-7-205/완료/2020-8-1,크레인,220,495000
RE-7-206/예정/2021-1-3,불도저,172,540000
RE-7-207/완료/2021-5-20,불도저,202,540000
RE-7-208/예정/2021-1-25,크레인,221,495000
RE-7-209/예정/2021-3-26,불도저,192,540000
IA-5-401/완료/2021-2-8,굴착기,24,180000
IA-5-402/완료/2020-9-14,굴착기,24,180000
IA-5-403/완료/2021-3-20,굴착기,192,810000
IA-5-404/완료/2020-11-9,지게차,48,150000
IA-5-405/예정/2021-1-23,크레인,72,110000
IA-5-406/완료/2020-12-9,지게차,72,150000
ZQ-3-301/완료/2021-1-22,불도저,146,342000
ZQ-3-302/완료/2021-6-16,굴착기,72,180000
ZQ-3-303/완료/2021-5-18,지게차,216,675000
ZQ-3-304/예정/2021-4-18,불도저,192,540000
ZQ-3-305/완료/2021-3-1,지게차,203,675000
ZQ-3-306/완료/2020-6-10,굴착기,230,810000
